award_id,source_award_id,notice_id,procedure_id,lot_id,award_date,award_status,award_value,currency_code,source_id,source_file_id,source_record_id,collected_at
awd_00185,RES-0004,not_0074,pro_0069,lot_00183,2000-01-01,selec-w,20000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0004,2026-08-19
awd_00186,RES-0005,not_0074,pro_0069,lot_00184,2000-01-01,selec-w,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0005,2026-08-19
awd_00187,RES-0006,not_0074,pro_0069,lot_00185,2000-01-01,selec-w,20000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0006,2026-08-19
awd_00188,RES-0007,not_0074,pro_0069,lot_00186,2000-01-01,selec-w,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0007,2026-08-19
awd_00189,RES-0008,not_0074,pro_0069,lot_00187,2000-01-01,selec-w,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0008,2026-08-19
awd_00190,RES-0009,not_0074,pro_0069,lot_00188,2000-01-01,selec-w,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0009,2026-08-19
awd_00191,RES-0010,not_0074,pro_0069,lot_00189,2000-01-01,selec-w,30000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0010,2026-08-19
awd_00192,RES-0011,not_0074,pro_0069,lot_00190,2000-01-01,selec-w,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0011,2026-08-19
awd_00193,RES-0012,not_0074,pro_0069,lot_00191,2000-01-01,selec-w,30000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0012,2026-08-19
awd_00194,RES-0013,not_0074,pro_0069,lot_00192,2000-01-01,selec-w,70000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0013,2026-08-19
awd_00195,RES-0000,not_0075,pro_0070,lot_00193,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0075,lot_result:RES-0000,2026-08-19
awd_00196,RES-0001,not_0075,pro_0070,lot_00194,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0075,lot_result:RES-0001,2026-08-19
awd_00197,RES-0001,not_0076,pro_0071,lot_00195,2000-01-01,selec-w,241650.72,PLN,src_ted_opendata,file_ted_0076,lot_result:RES-0001,2026-08-19
awd_00198,RES-0001,not_0077,pro_0072,lot_00196,2000-01-01,selec-w,525000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0001,2026-08-19
