source_file_id,source_id,original_file_name,stored_file_path,file_format,mime_type,file_size_bytes,sha256,downloaded_at,record_count,column_count,encoding,delimiter,license_status
file_ted_0057,src_ted_opendata,103-2025.xml,raw/ted/xml/103-2025.xml,xml,application/xml,35353,cbb29f8e8c5c9fdfd7df536ec865265e7755a6fe4646a4fbc03d5d49f2322498,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0058,src_ted_opendata,106-2025.xml,raw/ted/xml/106-2025.xml,xml,application/xml,28996,ba64d4fe9ed1302a878f6d4fedfaa2d71c6a01c1f17704b2f96ef0fb1d8504f1,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0059,src_ted_opendata,107-2025.xml,raw/ted/xml/107-2025.xml,xml,application/xml,19124,657255bac5100af78eb8d80f42bfbd706a14e6d92cd91ddfc82b1a0de21a137d,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0060,src_ted_opendata,109-2025.xml,raw/ted/xml/109-2025.xml,xml,application/xml,26092,05a083a2d0c6fc02dec164a5e626b21988fa24e8d719d3f8beb2c586a16f6f77,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0061,src_ted_opendata,113-2025.xml,raw/ted/xml/113-2025.xml,xml,application/xml,27429,443106eacb44289f015ae4238bf882e13f21fafb8a6d6717dbb035a330ad870b,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0062,src_ted_opendata,117-2025.xml,raw/ted/xml/117-2025.xml,xml,application/xml,38938,5494d7ede128ac081cd73f0dfe2f95cf8741111cbaece46cbaf7bb024392e070,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0063,src_ted_opendata,118-2025.xml,raw/ted/xml/118-2025.xml,xml,application/xml,12380,e189ed809adb4d93aaa853d481640ecc3674b6c6dd7dea94acc2aa336e4d8b86,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0064,src_ted_opendata,119-2025.xml,raw/ted/xml/119-2025.xml,xml,application/xml,17826,3d692011312e3db356e74c849f32a7d5135d133754172a56c1a6225f60145fc2,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0065,src_ted_opendata,120-2025.xml,raw/ted/xml/120-2025.xml,xml,application/xml,18664,29fb0af14da9b85755c6fc9a834843365acb39dbffca7dccadfd41a472a1c519,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0066,src_ted_opendata,123-2025.xml,raw/ted/xml/123-2025.xml,xml,application/xml,22357,fa213c92f072f0ff074786940f32806e62637476fdad51bfa0408a94fb8056a9,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0067,src_ted_opendata,125-2025.xml,raw/ted/xml/125-2025.xml,xml,application/xml,22402,07eb389aa1d6ad6a1e34de4aab38e2ee117563e906539773a947a57e14591ebd,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0068,src_ted_opendata,127-2025.xml,raw/ted/xml/127-2025.xml,xml,application/xml,24766,49dac1a767c03aaa1dda4c3392e1bf2abeef4a58abe3d8b6299ad49ec855fff2,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0069,src_ted_opendata,130-2025.xml,raw/ted/xml/130-2025.xml,xml,application/xml,18891,7228653d7e20a862ccae59b2ad055304045211868daabaf0d8206dbb3119783c,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0070,src_ted_opendata,134-2025.xml,raw/ted/xml/134-2025.xml,xml,application/xml,27951,5e55ceb31ef54d9c6674cfa9c0a399b213f4ddde47043d8f222b5a95c2f53b9f,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0071,src_ted_opendata,135-2025.xml,raw/ted/xml/135-2025.xml,xml,application/xml,14239,fb47ec4f736b4a4f448f067b5d1127b3fbcdd78bb3764e292a616eed28453984,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0072,src_ted_opendata,136-2025.xml,raw/ted/xml/136-2025.xml,xml,application/xml,65180,1f119cc00527639f2b42836aab6878a1460a3984e501093cd95384c6328d8753,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0073,src_ted_opendata,137-2025.xml,raw/ted/xml/137-2025.xml,xml,application/xml,24410,fff3690476303f93794c5a9373b40564eb9d9f497954ef778cfa8f53f0c44d09,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0074,src_ted_opendata,144-2025.xml,raw/ted/xml/144-2025.xml,xml,application/xml,146137,abab44859f80a7a8fff45c1b2aeeaec699243627e63cc699d4bc4657318344bb,2026-08-19,1,,utf-8,,open_with_attribution
